name,website,region,town,holes,clubId,in_seed
Bothwell Castle Golf Club,http://www.bcgolf.co.uk/,South Lanarkshire,Glasgow,18,2083,
Braehead (Alloa) Golf Club,http://www.braeheadgolfclub.co.uk,Clackmannanshire,Alloa,18,2084,
Braemar Golf Club,https://www.braemargolfclub.co.uk/website/,Aberdeenshire,Ballater,18,2086,
Braes Golf Centre,https://braesgolf.co.uk/,Falkirk,Falkirk,18,2087,
Braids United Golf Club,http://www.braids-united.co.uk/,Edinburgh,Edinburgh,18,2088,
Brechin Golf Club,https://www.brechingolfclub.co.uk/,Angus,Brechin,18,2089,
Bridge of Allan Golf Club,https://www.bofagc.com/,Stirling,Stirling,18,2090,
Bridgend & District Golf Club,https://www.visitwestlothian.co.uk/things-to-do/golf/bridgend-district-golf-club/,West Lothian,Linlithgow,18,2091,
Brodick Golf Club,https://www.brodickgolf.com/,North Ayrshire,Isle of Arran,18,2095,
Broomieknowe Golf Club,https://www.broomieknowe.com/,Midlothian,Bonnyrigg,18,2096,
Brora Golf Club,https://broragolfclub.co.uk/,Highland,Brora,18,2097,
Bruntsfield Links Golfing Society,http://www.bruntsfieldlinks.co.uk,Edinburgh,Edinburgh,18,2099,
Buchanan Castle Golf Club,https://buchanancastlegolfclub.co.uk/,Stirling,Glasgow,18,2100,
Buckpool Golf Club,https://buckpoolgolf.com/,Moray,Buckie,18,2101,
Burntisland Golf House Club,https://burntislandgolfhouseclub.co.uk/,Fife,Burntisland,18,2102,
Bute Golf Club,https://www.butegolfclub.com/,Argyll & Bute,Isle of Bute,18,2103,
CMAE Scotland ,http://www.cmae-scotland.uk,Edinburgh,Falkirk,18,2574,
Cabot Highlands ,https://www.castlestuartgolf.com/,Moray,Inverness,18,2132,
Caird Park Golf Club,https://www.golfdundee.co.uk/,Dundee,Dundee,18,2104,
Caldwell Golf Club,https://caldwellgolfclub.com/,East Renfrewshire,Glasgow,18,2106,
Caledonian Golf Club,https://www.carnoustiecaledonia.co.uk/,Aberdeen City,Aberdeen,18,2107,
Callander Golf Club,https://www.callandergolfclub.co.uk/,Stirling,Callander,18,2108,
Cambuslang Golf Club,http://www.cambuslanggolf.co.uk/,South Lanarkshire,Glasgow,18,2109,
Campsie Golf Club,http://www.campsiegolfclub.com,East Dunbartonshire,Lennoxtown,18,2110,
Canmore Golf Club,https://www.canmoregolfclub.uk/,Fife,Dunfermline,18,2111,
Caprington Golf Club,https://www.capringtongolfclub.com/,East Ayrshire,Kilmarnock,18,2112,
"Cardrona Hotel, Golf & Spa",http://www.macdonaldhotels.co.uk/cardrona/golf/course,Scottish Borders,Peebles,18,2113,
Cardross Golf Club,https://www.cardrossgolfclub.co.uk/,Argyll & Bute,Dumbarton,18,2114,
Carluke Golf Club,https://www.carlukegolfclub.com/,South Lanarkshire,Carluke,18,2115,
Carnegie Club at Skibo Castle,https://www.carnegieclub.co.uk/golf-championship-links.html,Highland,Dornoch,18,2116,
Carnoustie Golf Club,https://www.carnoustiegolflinks.com/,Angus,Carnoustie,18,2119,yes
Carnoustie Ladies' Golf Club,http://www.carnoustieladiesgolfclub.co.uk/,Angus,Carnoustie,18,2121,
Carnoustie Mercantile Golf Club,https://www.carnoustiemercantile.co.uk/,Angus,Carnoustie,18,2122,
Carnwath Golf Club,https://www.carnwathgc.co.uk,South Lanarkshire,Lanark,18,2124,
Carradale Golf Club,https://www.carradalegolf.com/,Argyll & Bute,PA28 6RY,18,2125,
Carrbridge Golf Club,https://carrbridgegolf.co.uk/,Highland,Carrbridge,18,2126,
Carrick at Cameron House Golf Club,https://www.cameronhouse.co.uk/golf/courses/the-carrick/,Argyll & Bute,Alexandria,18,2127,
Carrickvale Golf Club,https://www.carrickvalegolfclub.co.uk/,Edinburgh,Edinburgh,18,2129,
Castle Douglas Golf Club,https://cdgolfclub.co.uk/,Dumfries & Galloway,Castle Douglas,18,2130,
Castle Park Golf Club,https://www.castleparkgolfclub.co.uk/,East Lothian,Haddington,18,2131,
Cathcart Castle Golf Club,https://www.cathcartcastle.net/,Glasgow,Glasgow,18,2133,
Cathkin Braes Golf Club,https://cathkinbraesgolfclub.co.uk/,South Lanarkshire,Glasgow,18,2134,
Cawder Golf Club,https://cawdergolfclub.com/,East Dunbartonshire,Glasgow,18,2135,
Charleton Golf Course ,https://charleton.co.uk/,Fife,Leven,18,2136,
Chase Golf Club,https://thechasegolfclub.co.uk/index.html,North Lanarkshire,Ayr,18,2137,
Clober Golf Club,https://www.clobergolfclub.co.uk/,East Dunbartonshire,Glasgow,18,2139,
Clydebank & District Golf Club,https://www.clydebankdgc.co.uk/,West Dunbartonshire,Clydebank,18,2141,
Clydebank Overtoun Golf Club,https://www.clydebankovertoun.com/,West Dunbartonshire,Dalmuir,18,2142,
Coatbridge Golf Club,https://www.activenl.co.uk/lochview-family-golf-centre,North Lanarkshire,Coatbridge,18,2411,
Cochrane Castle Golf Club,https://cochranecastle.com/,Renfrewshire,Renfrewshire,18,2144,
Colvend Golf Club,https://www.colvendgolfclub.co.uk/,Dumfries & Galloway,Dalbeattie,18,2145,
Colville Park Golf Club,https://colvilleparkgc.co.uk/,North Lanarkshire,Motherwell,18,2146,
Comiston Ladies Golf Club,https://www.comistonladiesgolfclub.co.uk/,Edinburgh,Edinburgh EH10 6JY,18,2147,
Comrie Golf Club,https://www.comriegolf.co.uk/,Perth & Kinross,Crieff,18,2148,
Corrie Golf Club,https://www.corriegolfclub.com/,North Lanarkshire,Isle of Arran,18,2149,
Cowal Golf Club,https://www.cowalgolfclub.co.uk/,Argyll & Bute,Dunoon,18,2152,
Cowdenbeath Golf Club,https://cowdenbeath-golfclub.com/,Fife,Cowdenbeath,18,2153,
Cowglen Golf Club,https://www.cowglengolfclub.co.uk/,Glasgow,Glasgow,18,2154,
Craibstone Golf Club,https://www.marshall-leisure.co.uk/,Aberdeen City,Aberdeen,18,2155,
Craigie Hill Golf Club,http://www.craigiehill.co.uk,Perth & Kinross,Perth,18,2157,
Craigielaw Golf Club,https://www.craigielawgolfclub.com/,East Lothian,Longniddry,18,2158,
Craigmillar Park Golf Club,https://www.craigmillarpark.co.uk/,Edinburgh,Edinburgh,18,2159,
Craignure Golf Club,https://craignuregolfclub.co.uk/,Argyll & Bute,Isle of Mull,18,2160,
Crail Golfing Society,https://crailgolfingsociety.co.uk/,Fife,Anstruther,18,2161,
Crichton Golf Club,http://www.crichtongolfclub.com,Dumfries & Galloway,Dumfries,18,2162,
Crieff Golf Club,http://www.crieffgolf.co.uk,Perth & Kinross,Crieff,18,2163,
Crow Wood Golf Club,https://www.crowwoodgolfclub.co.uk/,North Lanarkshire,Glasgow,18,2165,
Cruden Bay Golf Club,https://crudenbaygolfclub.co.uk/,Aberdeenshire,Peterhead,18,2166,
Cullen Links Golf Club,https://www.cullenlinksgolf.co.uk/,Moray,Buckie,18,2167,
Cupar Golf Club,http://www.cupargolfclub.co.uk/,Fife,Cupar,18,2168,
DALCGA,https://dalcga.co.uk/,East Dunbartonshire,,18,2207,
Dalbeattie Golf Club,https://www.dalbeattiegolfclub.co.uk/,Dumfries & Galloway,Dalbeattie,18,2169,
Dalhousie Golf Club,https://www.dalhousie.co.uk/,Angus,Carnoustie,18,2170,
Dalmahoy Hotel & Country Club,https://www.dalmahoyhotelandcountryclub.co.uk/,Edinburgh,Edinburgh,18,2171,
Dalmally Golf Club,https://dalmallygolfclub.co.uk/,Argyll & Bute,Argyll,18,2172,
Dalmunzie Golf Club,https://www.dalmunzieestate.com/golf,Perth & Kinross,Blairgowrie,18,2173,
David Lloyd Rouken Glen Golf Club,https://www.davidlloyd.co.uk/clubs/glasgow-rouken-glen/golf/,East Renfrewshire,Glasgow,18,2176,
Deaconsbank Golf Club,https://deaconsbank.cw.sct.dotgolf.co.uk,East Renfrewshire,Glasgow,18,2177,
Deer Park Golf & Country Club,http://www.deer-park.co.uk,West Lothian,West Lothian,18,2178,
Deeside Golf Club,https://www.deesidegolfclub.com/,Aberdeen City,Aberdeen,18,2179,
