Club Name,Course Name,Website
Callander Golf Club,Callander Golf Club,https://www.callandergolfclub.co.uk
Callendar Park Golf Course,Callendar Park Golf Course,
Cally Palace Hotel & Golf Course,Cally Palace Hotel & Golf Course,https://www.mcmillanhotels.co.uk/hotels/cally-palace-hotel/golf-at-cally-palace
Cambuslang Golf Club,Cambuslang Golf Club,https://cambuslanggolf.co.uk
Campsie Golf Club,Campsie Golf Club,https://www.campsiegolfclub.com
Canmore Golf Club,Canmore Golf Club,https://www.canmoregolfclub.co.uk
Caprington Golf Club,Caprington Golf Club,https://www.capringtongolfclub.com
Cardross Golf Club,Cardross Golf Club,http://www.cardross.com
Carluke Golf Club,Carluke Golf Club,https://www.carlukegolfclub.com
Carnoustie Golf Links,The Carnoustie Buddon Course,https://www.carnoustiegolflinks.com/
Carnoustie Golf Links,The Carnoustie Burnside Course,https://www.carnoustiegolflinks.com/
Carnoustie Golf Links,The Carnoustie Championship Course,https://www.carnoustiegolflinks.com/
Carnwath Golf Club,Carnwath Golf Club,https://www.carnwathgc.co.uk
Carradale Golf Course,Carradale Golf Course,https://www.carradalegolf.com
Carrbridge Golf Club,Carrbridge Golf Club,https://carrbridgegolf.co.uk
Carrick Knowe Golf Club,Carrick Knowe Golf Club,https://www.carrickvalegolfclub.co.uk
Castle Douglas Golf Club,Castle Douglas Golf Club,https://www.cdgolfclub.co.uk
Castle Eden Golf Club,Castle Eden Golf Club,https://www.castleedengolfclub.co.uk
Castle Park Golf Course,Castle Park Golf Course,https://www.castleparkgolfclub.co.uk
Castle Stuart Golf Links,Castle Stuart Golf Links,https://www.castlestuartgolf.com
Cathcart Castle Golf Course,Cathcart Castle Golf Course,https://www.cathcartcastle.net
Cathkin Braes Golf Club,Cathkin Braes Golf Club,https://cathkinbraesgolfclub.co.uk
Cawder Golf Club,Cawder Golf Club,https://www.cawdergolfclub.com
Cawdor Castle Golf Club,Cawdor Castle Golf Club,https://www.cawdorcastle.com/golf/index.cfm
Charleton Golf Club,Charleton Golf Club,https://charleton.co.uk
Cleveland Golf Club,Cleveland Golf Club,https://www.clevelandgolfclub.co.uk
Clober Golf Club,Clober Golf Club,https://www.clobergolfclub.co.uk
Cluba-goilf Steòrnabhaigh (Stornoway Golf Club),Raon Goilf Steòrnabhaigh,https://www.stornowaygolfclub.co.uk
Cluny Activities,Cluny Golf,https://www.clunyactivities.co.uk/golf
Clydebank & District Golf Course,Clydebank & District Golf Course,https://www.clydebankdgc.co.uk
Cochrane Castle Golf Club,Cochrane Castle Golf Club,https://cochranecastle.com
Cocken Lodge Golf Course,Cocken Lodge Golf Course,https://cockenlodgegolf.my.canva.site/cocken-website
Colonsay Golf Club,Colonsay Golf Club,https://www.colonsay.org.uk/Things-to-Do/Golf
Colvend Golf Club,Colvend Golf Club,https://www.colvendgolfclub.co.uk
Colville Park Golf Course,Colville Park Golf Course,https://colvilleparkgc.co.uk
Comann Goilf na Hearadh,Comann Goilf na Hearadh,https://www.harrisgolf.com
Comrie Golf Course,Comrie Golf Course,https://www.comriegolf.co.uk
Comunn Goilf Bharraidh,Comunn Goilf Bharraidh,https://isleofbarra.com/barragolfclub.htm
Corrie Golf Club,Corrie Golf Club,https://www.golfonarran.com
Covesea Links,Covesea Links,https://covesealinks.com
Cowal Golf Club,Cowal Golf Club,https://www.cowalgolfclub.online
Cowglen Golf Club,Cowglen Golf Club,https://www.cowglengolfclub.co.uk
Craggan Golf Course,Craggan Golf Course,https://www.cairngormsactivities.co.uk/golf
Craibstone Golf Course,Craibstone Golf Course,https://www.marshall-leisure.co.uk
Craigentinny Golf Course,Craigentinny Golf Course,https://www.edinburghleisure.co.uk/venues/craigentinny-golf-course
Craigie Hill Golf Course,Craigie Hill Golf Course,https://www.craigiehill.co.uk
Craigielaw Golf Club,Craigielaw Golf Club,https://www.craigielawgolfclub.com
Craigielaw Golf Course,Craigielaw Golf Course,https://www.craigielawgolfclub.com
Craigknowes Golf Course,Craigknowes Golf Course,https://www.facebook.com/p/Craigieknowes-Golf-course-61573624352340/
Craigmillar Park Golf Club,Craigmillar Park Golf Club,https://www.craigmillarpark.co.uk
Craignure Golf Club,Craignure Golf Club,https://craignuregolfclub.co.uk
Craigtoun Country Park,Craigtoun Country Park Course,https://www.friendsofcraigtoun.org.uk/attractions/park-golf
Crail Golf Society,Balcomie Links,https://crailgolfingsociety.co.uk/golf/balcomie-links
Crail Golfing Society,Craighead Links,https://crailgolfingsociety.co.uk/golf/craighead-links
Crichton Golf Club,Crichton Golf Club,https://www.crichtongolfclub.com
Crieff Golf Club,Crieff Golf Club,https://crieffgolf.co.uk
Crieff Hydro Golf Course,Crieff Hydro Golf Course,https://www.crieffhydro.com/
Crow Wood Golf Club,Crow Wood Golf Club,https://www.crowwoodgolfclub.co.uk
Cruden Bay Golf Club,Cruden Bay Golf Club,https://www.crudenbaygolfclub.co.uk
Cullen Golf Club,Cullen Golf Club,https://www.cullengolfclub.co.uk
Cupar Golf Club,Cupar Golf Club,https://www.cupargolfclub.co.uk
Dalbeattie Golf Club,Dalbeattie Golf Club,https://www.dalbeattiegolfclub.co.uk
Dalmahoy Hotel & Country Club,East Course,https://www.dalmahoyhotelandcountryclub.co.uk
Dalmahoy Hotel & Country Club,West Course,https://www.dalmahoyhotelandcountryclub.co.uk
Dalmally Golf Club,Dalmally Golf Club,https://www.dalmallygolfclub.co.uk
Dalmilling Golf Course,Dalmilling Golf Course,https://www.golfsouthayrshire.com/play/the-courses/dalmiling
Dalmuir Municipal Golf Course,Dalmuir Municipal Golf Course,https://www.west-dunbarton.gov.uk/leisure-parks-events/dalmuir-golf-course
Dalziel Golf Course,Dalziel Golf Course,https://dalzielpark.co.uk/golf
David Lloyd Rouken Glen Golf Club,David Lloyd Rouken Glen Golf Club,https://www.davidlloyd.co.uk/clubs/glasgow-rouken-glen/at-glasgow-rouken-glen/golf
Deer Park,Deer Park,https://www.deer-park.co.uk
Deeside Golf Club,Deeside Golf Club,https://www.deesidegolfclub.com
Dodhead Golf Course,Dodhead Golf Course,https://www.burntislandgolfhouseclub.co.uk
Dollar Golf Club,Dollar Golf Club,https://www.dollargolfclub.com
Dougalston Golf Course,Dougalston Golf Course,https://www.dougalstongolfclub.co.uk/contact
Douglas Park Golf Club,Douglas Park Golf Club,https://www.douglasparkgolfclub.co.uk
Douglas Water Golf Course,Douglas Water Golf Course,https://www.facebook.com/DWGClub/
Downfield Golf Club,Downfield,https://www.downfieldgolf.com
Dragon's Tooth Golf Club,Dragon's Tooth Golf Club,http://www.dragonstooth.co.uk
Drimsynie Estate Golf Course Lochgoilhead,Drimsynie Estate Golf Course Lochgoilhead,https://www.argyllholidays.com/parks/drimsynie-estate-holiday-village
Drumoig Golf Centre,Drumoig Golf Centre,http://www.drumoiggolfcentre.co.uk
Drumoig Golf Hotel,Drumoig Golf Course,https://www.drumoiggolfhotel.com
Drumpellier Golf Course,Drumpellier Golf Course,http://www.drumpelliergolf.co.uk
Duddingston Golf Course,Duddingston Golf Course,https://www.duddingstongolfclub.co.uk
Duff House Royal Golf Club,Duff House Royal Golf Club,https://www.duffhouseroyal.com
Dufftown Golf Club,Dufftown Golf Club,https://dufftowngolfclub.com
Dullatur Golf Course,Dullatur Golf Course,https://www.dullaturgolf.com
Dumbarnie Links,Dumbarnie Links,https://dumbarnielinks.com
Dumbarton Golf Club,Dumbarton Golf Club,https://dumbartongolfclub.co.uk
Dumfries and Galloway Golf Course,Dumfries and Galloway Golf Course,https://www.dandggolfclub.co.uk
Dunaverty Golf Club,Dunaverty Golf Club,http://www.dunavertygolfclub.com
Dunbar Golf Club,Dunbar Golf Club,https://www.dunbargolfclub.com
Dunblane New Golf Club,Dunblane New Golf Club,https://www.dngc.co.uk
Dundas Parks Golf Club,Dundas Parks Golf Club,https://www.dundasparksgolf.co.uk
Dundonald Links,Dundonald Links,https://www.dundonaldlinks.com
Dunecht House Golf Club,Dunecht House Golf Club,https://www.dunechthousegolfclub.co.uk
Dunes Golf Centre,Dunes Golf Centre,https://dunesgolfcentre.co.uk
Dunfermline Golf Club,Halkett Course,https://dunfermlinegolfclub.com/
Dunfermline Golf Club,Pitfarrane Course,https://www.dunfermlinegolfclub.com
Dunkeld and Birnam Golf Club,Dunkeld and Birnam Golf Club,https://www.dunkeldandbirnamgolfclub.co.uk
Dunning Golf Club,Dunning Golf Club,https://www.dunninggolfclub.co.uk
Duns Golf Course,Duns Golf Course,https://www.dunsgolfclub.com
Durness Golf Club,Durness Golf Club,https://www.durnessgolfclub.org
Earl of Mar Golf Course,Earl of Mar Golf Course,https://www.marhall.com/golf
East Kilbride Golf Club,East Kilbride Golf Club,https://www.ekgolfclub.com
East Renfrewshire Golf Club,East Renfrewshire Golf Club,https://www.eastrengolfclub.co.uk
Easter Moffat Golf Club,Easter Moffat Golf Club,https://www.emgc.org.uk
Eastwood Golf Course,Eastwood Golf Course,https://www.eastwoodgolfclub.co.uk
Eden Golf Club,Eden Golf Club,https://www.edengolf.co.uk
Edzell Golf Club,Edzell Golf Club,https://www.edzellgolfclub.com
Elderslie Golf Club,Elderslie Golf Club,https://eldersliegolfclub.com
Elgin Golf Club,Elgin Golf Club,https://www.elgingolfclub.com
Elie Sports Club,The Baird Course,https://www.eliesportsclub.co.uk/golf
Elmwood Golf Course,Elmwood Golf Course,https://www.elmwoodgolf.co.uk
Erskine Golf Club,Erskine Golf Club,https://www.erskinegolfclublimited.co.uk
Eyemouth Golf Club,Eyemouth Golf Club,https://www.eyemouthgolfclub.co.uk
Fair Isle Lighthouse Keeper's Golf Course,Fair Isle Lighthouse Keeper's Golf Course,https://fair-isle.blogspot.com/p/golf.html
Fairmont St Andrews,Kittocks Course,https://www.standrewsbay.com
Fairmont St Andrews,Torrance Course,https://www.standrewsbay.com
Fairways Loch Ness Golf Club,Fairways Loch Ness Golf Club,http://www.golflochness.com
Falkirk Golf Club,Falkirk Golf Club,https://www.falkirkgolfclub.co.uk
Falkirk Tryst Golf Club,Falkirk Tryst Golf Club,https://www.falkirktrystgolfclub.com
Falkland Golf Club,Falkland Golf Club,https://www.falklandgolfclub.com
Feddinch Mains,Feddinch Mains,https://amgolf.consultationonline.co.uk
Fereneze Golf Club,Fereneze Golf Club,https://www.ferenezegolfclub.org
Fife Golf Trust,2019 Course,https://fifegolftrust.co.uk/dunnikier-golf-course
Fife Golf Trust,Auchterderran Golf Course,https://fifegolftrust.co.uk/auchterderran-golf-course
Fife Golf Trust,Cowdenbeath Golf Course,https://cowdenbeath-golfclub.com
Fife Golf Trust,Dunnikier Park Golf Course,https://fifegolftrust.co.uk/dunnikier-golf-course
Fife Golf Trust,Kinghorn Golf Course,https://www.fifegolftrust.co.uk/our-courses/kinghorn
Fife Golf Trust,Lochore Meadow Golf Course,https://www.fifegolftrust.co.uk/our-courses/lochore-meadows
Fife Golf Trust,Scoonie Golf Course,https://www.scooniegolfclub.com/https://fifegolftrust.co.uk/scoonie-golf-course
Fitzsimmons Group,Riverside Lodge Hotel Irvine Golf Course,https://fitzsimmonsgroup.co.uk/riverside-lodge-hotel/
Forbes of Kingennie Golf Course,Forbes of Kingennie Golf Course,https://forbesofkingennie.co.uk
Forfar Golf Club,Forfar Golf Club,https://www.forfargolfclub.co.uk
Forres Golf Club,Forres Golf Club,https://forresgolfclub.co.uk
Forrester Park Golf Course,Forrester Park Golf Course,https://www.forresterparkresort.com
Fort Augustus Golf Club,Fort Augustus Golf Club,
Fortrose & Rosemarkie Golf Club,Fortrose & Rosemarkie Golf Club,https://www.fortrosegolfclub.co.uk
Foulford Inn Golf Course,Foulford Inn Golf Course,https://foulfordinn.co.uk
Foyle Golf Club,Foyle Golf Club,https://www.foylegolfcentre.co.uk
Fraserburgh Golf Club,Fraserburgh Golf Club,https://fraserburghgolfclub.org
Gairloch Golf Club,Gairloch Golf Club,https://gairlochgolfclub.co.uk
Galashiels Golf Course,Galashiels Golf Course,https://www.galashielsgolfclub.co.uk
Garmouth & Kingston Golf Course,Garmouth & Kingston Golf Course,http://garmouthkingstongolfclub.com
George Washington Hotel Golf and Spa,George Washington Hotel Golf and Spa,https://www.georgewashington.co.uk/contact
Gifford Golf Club,Gifford Golf Club,https://www.giffordgolfclub.com
Gigha Golf Club,Gigha Golf Club,https://www.visitgigha.co.uk/Golf
Girvan,Girvan,https://www.girvangolf.com
Glasgow Golf Club (Killermont Course),Glasgow Golf Club (Killermont Course),https://www.glasgowgolfclub.com/killermont.asp
Glasgow Golf Club / Gailes Links,Glasgow Golf Club / Gailes Links,https://www.gaileslinks.co.uk
Glasgow Life,Littlehill Golf Course,https://www.glasgowlife.org.uk/sport/venues/littlehill-golf-club
Gleddoch Golf and Spa Resort,Gleddoch Golf and Spa Resort,https://www.gleddoch.com/golf
Glen Golf Club,Glen Golf Club,https://www.glengolfclub.co.uk
Glenalmond College Golf Course,Glenalmond College Golf Course,https://www.glenalmondcollege.co.uk/co-curricular/sports/golf-school
Glenbervie Golf Course,Glenbervie Golf Course,https://www.glenberviegolfclub.com
Glencorse Golf Club,Glencorse Golf Club,https://www.glencorsegolfclub.com
Glencruitten Golf Club,Glencruitten Golf Club,https://www.golfoban.com
Gleneagles Golf Resort,Gleneagles Golf Resort,https://www.gleneagles.com/golf
Glenrothes Golf Course,Glenrothes Golf Course,http://www.glenrothesgolf.org.uk
Gogarburn Golf Course,Gogarburn Golf Course,https://www.gogarburngc.com
Golf at Roe Valley,Golf at Roe Valley,https://www.roevalleyresort.com
Golspie Golf Club,Golspie Golf Club,https://www.golspiegolfclub.co.uk
Gordonstoun School,Gordonstoun Golf Course,https://www.gordonstoun.org.uk/
Gourock Golf Club,Gourock Golf Club,https://www.gourockgolfclub.com
Grangemouth Golf Club,Grangemouth Golf Club,https://www.grangemouthgolfclub.co.uk
Grantown-On-Spey Golf Club,Grantown-On-Spey Golf Club,http://www.grantownonspeygolfclub.co.uk
Greenburn Golf Club,Greenburn Golf Course,https://www.greenburngolfclub.co.uk
Greenock Golf Club,Greenock Golf Club,https://greenockgolfclub.co.uk
Gullane Golf Club,Gullane Golf Club,https://gullanegolfclub.com
Guthrie Castle,Guthrie Castle Golf Course,http://www.guthriecastle.com/tour-the-castle-scottish-event-venue/golf-course
Haddington Golf Course,Haddington Golf Course,https://www.haddingtongolf.co.uk
Haggerston Castle Golf Course,Haggerston Castle Golf Course,https://haggerstongolf.co.uk
Haggs Castle Golf Course,Haggs Castle Golf Course,https://haggscastlegolfclub.com
Hamilton Golf Club,Hamilton Golf Club,https://www.hamiltongolfclub.co.uk
Harburn Golf Club,Harburn Golf Club,https://harburngolfclub.co.uk
Hawick Golf Course,Hawick Golf Course,https://www.hawickgolfclub.com
Hayston Golf Club,Hayston Golf Club,https://www.haystongolf.com
Hazlehead Golf Course,Hazlehead Golf Course,https://www.sportaberdeen.co.uk/hazlehead
Heads of Ayr Golf Course,Heads of Ayr Golf Course,https://headsofayr.com/things-to-do/golf/
Helensburgh Golf Club,Helensburgh Golf Club,https://www.helensburghgolfclub.co.uk
Helmsdale Community Golf Club,Helmsdale Community Golf Club,http://www.helmsdale.org/golf.html
Hilton Park Golf Club,Hilton Park Golf Club,https://www.hiltonpark.net
Hoddom Castle Caravan Site golf course,Hoddom Castle Caravan Site golf course,https://www.hoddomcastle.co.uk
Hollandbush Golf Course,Hollandbush Golf Course,https://www.hollandbushgolfclub.co.uk
Hopeman Golf Club,Hopeman Golf Club,http://www.hopemangc.co.uk
